,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,New Orleans,0.0,0.0,0.0,0,0.0,1.2,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
1,1,Detroit,0.0,0.0,0.0,0.0,0,1.8,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
2,1,Chicago,0.0,0.0,0.0,0.0,0,1.8,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
3,1,Tampa Bay,0.0,0.0,0.0,0,0.0,1.5,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
4,1,Minnesota,0.0,0.0,0.0,0.0,0,1.7,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
5,6,Dallas,1.0,1.0,1.0,1.0,0,1.3,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
6,6,Washington,1.0,1.0,1.0,1.0,0,2.0,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
7,6,Miami,1.0,1.0,1.0,1.0,0,1.4,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
8,6,Cleveland,1.0,1.0,1.0,0,1.0,1.7,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
9,6,Houston,1.0,1.0,1.0,1.0,0,1.6,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
10,6,New England,1.0,1.0,1.0,0,1.0,1.4,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
11,6,Buffalo,1.0,1.0,1.0,0,1.0,0.9,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
12,6,Carolina,1.0,1.0,1.0,1.0,0,1.5,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
13,6,Cincinnati,1.0,1.0,1.0,1.0,0,1.6,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
14,6,Baltimore,1.0,1.0,1.0,0,1.0,1.8,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
15,6,Seattle,1.0,1.0,1.0,1.0,0,1.4,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
16,17,Atlanta,2.0,2.0,2.0,2.0,0,1.8,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
17,17,Pittsburgh,2.0,2.0,2.0,0,2.0,1.7,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
18,17,San Francisco,2.0,2.0,2.0,0,2.0,1.4,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
19,17,Tennessee,2.0,2.0,2.0,2.0,0,1.3,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
20,17,Kansas City,2.0,2.0,2.0,0,2.0,1.8,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
21,17,Denver,2.0,2.0,2.0,0,2.0,1.3,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
22,17,LA Chargers,2.0,2.0,2.0,2.0,0,1.6,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
23,17,NY Giants,2.0,2.0,2.0,0,2.0,1.6,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
24,17,Green Bay,2.0,2.0,2.0,0,2.0,1.7,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
25,17,Philadelphia,2.0,2.0,2.0,0,2.0,1.7,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
26,17,Indianapolis,2.0,2.0,2.0,0,2.0,1.9,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
27,28,Las Vegas,3.0,3.0,3.0,0,3.0,1.7,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
28,28,NY Jets,3.0,3.0,3.0,3.0,0,1.6,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
29,28,LA Rams,3.0,3.0,3.0,3.0,0,1.0,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
30,31,Jacksonville,4.0,4.0,4.0,0,4.0,1.4,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
31,32,Arizona,5.0,5.0,5.0,5.0,0,1.8,2022-09-13,/nfl/stat/opponent-passing-touchdowns-per-game
